YEAR_,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,COUNTY
2019,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,3800,Okaloosa
2020,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,4600,Okaloosa
2021,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,3700,Okaloosa
2022,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,3300,Okaloosa
2023,570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,4000,Okaloosa
2019,570005,57070000,GEORGIA AVE,VINSON RAY RD,5800,Okaloosa
2020,570005,57070000,GEORGIA AVE,VINSON RAY RD,5800,Okaloosa
2021,570005,57070000,GEORGIA AVE,VINSON RAY RD,5300,Okaloosa
2022,570005,57070000,GEORGIA AVE,VINSON RAY RD,6100,Okaloosa
2023,570005,57070000,GEORGIA AVE,VINSON RAY RD,5300,Okaloosa
2019,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,1800,Okaloosa
2020,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,1650,Okaloosa
2021,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,1750,Okaloosa
2022,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,1950,Okaloosa
2023,570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,2000,Okaloosa
2019,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1500,Okaloosa
2020,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1400,Okaloosa
2021,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1400,Okaloosa
2022,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1700,Okaloosa
2023,570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1500,Okaloosa
2019,570008,57509500,CR-393,MILLSIDE RD,350,Okaloosa
2019,570008,57000029,MILLSIDE RD,SECOND AVE,350,Okaloosa
2020,570008,57509500,CR-393,MILLSIDE RD,300,Okaloosa
2020,570008,57000029,MILLSIDE RD,SECOND AVE,300,Okaloosa
2021,570008,57509500,CR-393,MILLSIDE RD,400,Okaloosa
2021,570008,57000029,MILLSIDE RD,SECOND AVE,400,Okaloosa
2022,570008,57000029,MILLSIDE RD,SECOND AVE,350,Okaloosa
2022,570008,57509500,CR-393,MILLSIDE RD,350,Okaloosa
2023,570008,57000029,MILLSIDE RD,SECOND AVE,350,Okaloosa
2023,570008,57509500,CR-393,MILLSIDE RD,350,Okaloosa
2019,570009,57010000,MIDDLEBROOKS RD,SR-4,5500,Okaloosa
2020,570009,57010000,MIDDLEBROOKS RD,SR-4,5300,Okaloosa
2021,570009,57010000,MIDDLEBROOKS RD,SR-4,6000,Okaloosa
2022,570009,57010000,MIDDLEBROOKS RD,SR-4,6200,Okaloosa
2023,570009,57010000,MIDDLEBROOKS RD,SR-4,6500,Okaloosa
2019,570010,57509000,WALTON CO LINE,CR-393/HWY 393,350,Okaloosa
2020,570010,57509000,WALTON CO LINE,CR-393/HWY 393,450,Okaloosa
2021,570010,57509000,WALTON CO LINE,CR-393/HWY 393,500,Okaloosa
2022,570010,57509000,WALTON CO LINE,CR-393/HWY 393,400,Okaloosa
2023,570010,57509000,WALTON CO LINE,CR-393/HWY 393,500,Okaloosa
2019,570018,57030000,PARK ENT,STAHLMAN AVE,44500,Okaloosa
2020,570018,57030000,PARK ENT,STAHLMAN AVE,39000,Okaloosa
2021,570018,57030000,PARK ENT,STAHLMAN AVE,43500,Okaloosa
2022,570018,57030000,COASTGUARD STATION,STAHLMAN AVE,40500,Okaloosa
2023,570018,57030000,COASTGUARD STATION,STAHLMAN AVE,44500,Okaloosa
2019,570019,57030000,HAMPTON INN ENT/EXIT,RESTAURANT ROW,9200,Okaloosa
2019,570019,57030000,,WALTON CO LINE,9200,Okaloosa
2019,570019,57030000,,,9200,Okaloosa
2019,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,9200,Okaloosa
2020,570019,57030000,,WALTON CO LINE,7100,Okaloosa
2020,570019,57030000,HAMPTON INN ENT/EXIT,RESTAURANT ROW,7100,Okaloosa
2020,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,7100,Okaloosa
2020,570019,57030000,,,7100,Okaloosa
2021,570019,57030000,HAMPTON INN ENT/EXIT,RESTAURANT ROW,9600,Okaloosa
2021,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,9600,Okaloosa
2021,570019,57030000,,WALTON CO LINE,9600,Okaloosa
2021,570019,57030000,,,9600,Okaloosa
2022,570019,57030000,,WALTON CO LINE,8400,Okaloosa
2022,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,8400,Okaloosa
2022,570019,57030000,,,8400,Okaloosa
2022,570019,57030000,HAMPTON INN,RESTAURANT ROW,8400,Okaloosa
2023,570019,57030000,HAMPTON INN,RESTAURANT ROW,7300,Okaloosa
2023,570019,57030000,,WALTON CO LINE,7300,Okaloosa
2023,570019,57030000,,,7300,Okaloosa
2023,570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,7300,Okaloosa
2019,570051,57060000,CR-602,CR-85A/SECOND AVE,4100,Okaloosa
2020,570051,57060000,CR-602,CR-85A/SECOND AVE,3800,Okaloosa
2021,570051,57060000,CR-602,CR-85A/SECOND AVE,4200,Okaloosa
2022,570051,57060000,CR-602,CR-85A/SECOND AVE,4600,Okaloosa
2023,570051,57060000,CR-602,CR-85A/SECOND AVE,4400,Okaloosa
2019,570054,57060000,CR-85A/SECOND AVE,CR-85A,3600,Okaloosa
2020,570054,57060000,CR-85A/SECOND AVE,CR-85A,3400,Okaloosa
2021,570054,57060000,CR-85A/SECOND AVE,CR-85A,3800,Okaloosa
2022,570054,57060000,CR-85A/SECOND AVE,CR-85A,4200,Okaloosa
2023,570054,57060000,CR-85A/SECOND AVE,CR-85A,4000,Okaloosa
2019,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,40500,Okaloosa
2020,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,40500,Okaloosa
2021,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,41500,Okaloosa
2022,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,42500,Okaloosa
2023,570088,57050000,57150005 SB ON,PJ ADAMS PKWY,41000,Okaloosa
2019,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,9600,Okaloosa
2020,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,9400,Okaloosa
2021,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,11100,Okaloosa
2022,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,11400,Okaloosa
2023,570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,10900,Okaloosa
