name,startTime,temperature,shortForecast,windSpeed
Tonight,2025-04-27 20:00:00-05:00,65,Partly Cloudy then Patchy Fog,0 to 5 mph
Monday,2025-04-28 06:00:00-05:00,88,Sunny,0 to 10 mph
Monday Night,2025-04-28 18:00:00-05:00,64,Mostly Clear,0 to 5 mph
Tuesday,2025-04-29 06:00:00-05:00,85,Mostly Sunny,5 to 10 mph
Tuesday Night,2025-04-29 18:00:00-05:00,65,Partly Cloudy,0 to 10 mph
Wednesday,2025-04-30 06:00:00-05:00,84,Mostly Sunny,0 to 10 mph
Wednesday Night,2025-04-30 18:00:00-05:00,64,Mostly Cloudy,0 to 10 mph
Thursday,2025-05-01 06:00:00-05:00,84,Partly Sunny,0 to 10 mph
Thursday Night,2025-05-01 18:00:00-05:00,66,Mostly Cloudy,0 to 10 mph
Friday,2025-05-02 06:00:00-05:00,85,Chance Showers And Thunderstorms,0 to 10 mph
Friday Night,2025-05-02 18:00:00-05:00,64,Chance Showers And Thunderstorms then Slight Chance Showers And Thunderstorms,0 to 10 mph
Saturday,2025-05-03 06:00:00-05:00,87,Slight Chance Showers And Thunderstorms,0 to 5 mph
Saturday Night,2025-05-03 18:00:00-05:00,61,Slight Chance Showers And Thunderstorms then Partly Cloudy,0 to 5 mph
Sunday,2025-05-04 06:00:00-05:00,86,Mostly Sunny,5 mph
