FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
1,2024,2,315004,31030000,NE LANCASTER ST,SR-47,7000,X,F,F,F,F,31,Gilchrist,2,2.296,2.44,9.5,0,54.6,9.6,231.7479,231.747940034289
2,2024,4,867002,86000260,SR-842/BROWARD BLVD,FROM PARK & RIDE,3200,F,F,F,F,F,86,Broward,4,0,0.245,9,0,55,8.2,390.553,390.552981632606
3,2024,2,339102,33503500,W US-27/SR-20,NW TURLINGTON RD,450,C,F,F,F,F,33,Lafayette,2,0,3.217,9.5,0,58,16.2,5173.4155,5173.41550668283
4,2024,7,159103,15000254,49 ST N SB,N/A,22000,C,F,F,F,F,15,Pinellas,7,1.696,1.717,9,0,53.4,5.9,33.7834,33.7833887097789
5,2024,7,155182,15009000,N/A,US-19/SR-55,31000,C,F,F,F,A,15,Pinellas,7,2.063,2.581,9,0,53.4,5.1,833.7909,833.790933746979
6,2024,1,170069,17000585,COMMUNICATIONS PKWY,UNIVERSITY PKWY,11000,C,F,F,F,F,17,Sarasota,1,0,1.081,9,0,54,11.8,1766.2729,1766.27291930011
7,2024,1,174165,17000039,WASHINGTON,TUTTLE AVE,15400,F,F,F,F,1,17,Sarasota,1,0,1,9,0,54,5.3,1610.9214,1610.92138983585
8,2024,1,169293,16690000,US-17/SR-555,CR655/RIFLE RANGE RD,8500,C,F,F,F,F,16,Polk,1,0,3.331,9,0,56,17.8,5358.6404,5358.64043818309
9,2024,1,164135,16504000,SR-659/N COMBEE RD,N/A,8400,F,F,F,F,1,16,Polk,1,0,0.791,9,0,56,20.4,1279.7035,1279.70349432344
10,2024,1,174902,17000132,CHANCELLOR BLVD,US-41/TAMIAMI TRL,18400,F,F,F,F,1,17,Sarasota,1,0,0.383,9,0,54,6.3,616.5635,616.563525977171
11,2024,2,326004,32100126,I-75 SB,I-75 SB,1600,C,F,F,W,F,32,Hamilton,2,0,0.492,9.5,0,99.9,31.3,789.8542,789.854224425774
12,2024,4,869736,86000255,SR-842/BROWARD BLVD,N/A,10200,F,F,F,F,F,86,Broward,4,0,0.461,9,0,53.7,8.2,742.695,742.695032400619
13,2024,1,164081,16880000,W PIPKIN RD,DRANE FIELD RD,24000,F,F,F,F,F,16,Polk,1,3.01,4.766,9.5,0,56,10.7,2825.8291,2825.82913897207
14,2024,3,470056,47540000,SE MARYSVILLE SCHOOL,SR-71,50,F,F,F,F,F,47,Calhoun,3,0,3.125,9.5,0,61.6,11.1,5035.9897,5035.98967041158
15,2024,2,300234,30030000,N/A,CR-351/NE 351 HWY,2815,C,A,A,A,A,30,Dixie,2,28.089,33.685,9.5,0,55.2,12.1,9013.6938,9013.69378477934
