COSITE,ROADWAY,FROM,TO,LAST_YEAR_RECORDED,FORECASTED_YEAR,FORECASTED_AADT,Congestion_Level,FORECAST_DATE,TEMPERATURE,WINDSPEED,CURRENT_FORECAST
575061,57000002,SR-85/S FERDON BLVD,E CHESNUT AVE,2023,2024,151.12,Low,2025-05-05,53,0.0,Clear
575063,57000003,MCDONALD ST,END OF PAVEMENT,2023,2024,1100.0,Low,2025-05-05,53,0.0,Clear
575055,57000004,US-90/SR-10/HWY 90,STILLWELL BLVD,2023,2024,2213.91,Low,2025-05-05,53,0.0,Clear
575056,57000005,US-90/SR-10,SR-85/FERDON BLVD,2023,2024,3714.11,Low,2025-05-05,53,0.0,Clear
575085,57000006,STILLWELL BLVD,SR-85,2023,2024,809.0,Low,2025-05-05,53,0.0,Clear
570304,57000007,US-90/SR-10,CRESTVIEW AEROSPACE,2023,2024,1598.73,Low,2025-05-05,53,0.0,Clear
575007,57000008,SR-85/N FERDON BLVD,WOODLAWN DR,2023,2024,304.33,Low,2025-05-05,53,0.0,Clear
575087,57000011,MOONEY RD NE,MOONEY RD NE,2023,2024,2165.68,Low,2025-05-05,53,0.0,Clear
575088,57000012,SKIPPER AVE,SR-188/RACETRACK RD,2023,2024,850.9,Low,2025-05-05,53,0.0,Clear
575084,57000013,SR-85/EGLIN PKWY,SR-188/RACETRACK RD,2023,2024,8662.14,Medium,2025-05-05,53,0.0,Clear
575144,57000014,JONQUIL AVE NW,SR-189/BEAL PKWY NW,2023,2024,2800.89,Low,2025-05-05,53,0.0,Clear
575071,57000016,HOLLYWOOD BLVD NW,SR-189/BEAL PKWY NW,2023,2024,5636.57,Medium,2025-05-05,53,0.0,Clear
575065,57000018,SR-189/BEAL PKWY,SR-85/EGLIN PKWY NW,2023,2024,10299.3,Medium,2025-05-05,53,0.0,Clear
575111,57000018,SR-393/MARY ESTHER,WRIGHT PKWY NW,2023,2024,9480.57,Medium,2025-05-05,53,0.0,Clear
575092,57000018,WRIGHT PKWY NW,ROBINWOOD DR SW,2023,2024,9991.67,Medium,2025-05-05,53,0.0,Clear
575116,57000018,ROBINWOOD DR SW,SR-189/BEAL PKWY,2023,2024,12486.56,Medium,2025-05-05,53,0.0,Clear
575145,57000019,FLORIDA BLANCA PL SE,BAY DR NE,2023,2024,887.69,Low,2025-05-05,53,0.0,Clear
575114,57000019,FERRY RD NE,SR-85/EGLIN PKWY,2023,2024,7857.24,Medium,2025-05-05,53,0.0,Clear
575165,57000019,BAY DR NE,FERRY RD NE,2023,2024,3894.68,Low,2025-05-05,53,0.0,Clear
575146,57000020,SR-85/EGLIN PKWY,FERRY RD NE,2023,2024,4895.21,Low,2025-05-05,53,0.0,Clear
570285,57000021,7TH ST,SR-20,2023,2024,7667.84,Medium,2025-05-05,53,0.0,Clear
571501,57000023,VALPARAISO BLVD,7TH ST,2023,2024,1049.7,Low,2025-05-05,53,0.0,Clear
575901,57000031,BUCK WARD RD,VINSON RAY RD,2023,2024,764.16,Low,2025-05-05,53,0.0,Clear
575147,57000035,CROSS ST,BENNING DR,2023,2024,759.11,Low,2025-05-05,53,0.0,Clear
575164,57000036,BENNING DR,FIRST ST,2023,2024,450.84,Low,2025-05-05,53,0.0,Clear
575148,57000038,FIRST ST SE,SR-145/PERRY AVE SE,2023,2024,350.94,Low,2025-05-05,53,0.0,Clear
575167,57000038,CHESTNUT AVE SE,YACHT CLUB DR NE,2023,2024,1505.13,Low,2025-05-05,53,0.0,Clear
575075,57000039,SR-189/BEAL PKWY,SR-85/EGLIN PKWY,2023,2024,7047.92,Medium,2025-05-05,53,0.0,Clear
575070,57000040,US-98/SR-30,HOLLYWOOD BLVD SW,2023,2024,5999.82,Medium,2025-05-05,53,0.0,Clear
575902,57000061,OLD RIVER RD,CR-2/HWY 2,2023,2024,99.95,Low,2025-05-05,53,0.0,Clear
575129,57000110,MILITARY BDRY ENT,US-98/SR-30,2023,2024,16416.56,High,2025-05-05,53,0.0,Clear
575168,57000111,HILL AVE NW,DOOLITTLE BLVD,2023,2024,18455.69,High,2025-05-05,53,0.0,Clear
575139,57000111,DOOLITTLE BLVD,SR-393,2023,2024,6885.94,Medium,2025-05-05,53,0.0,Clear
575141,57000112,FREEDOM WAY,HURLBURT RD,2023,2024,31036.12,High,2025-05-05,53,0.0,Clear
575101,57000112,LOVEJOY RD NW,FREEDOM WAY,2023,2024,27296.46,High,2025-05-05,53,0.0,Clear
575097,57000112,HOLLYWOOD BLVD NW,LOVEJOY RD NW,2023,2024,21828.16,High,2025-05-05,53,0.0,Clear
575154,57000113,US-98/SR-30,CR-30B/BENNING DR,2023,2024,3600.5,Low,2025-05-05,53,0.0,Clear
575027,57000113,CR-30B/BENNING DR,CR-30D/MAIN ST,2023,2024,12901.6,Medium,2025-05-05,53,0.0,Clear
570297,57000114,SR-20/JOHN SIMS PKWY,HUNTINGTON CIR,2023,2024,7865.0,Medium,2025-05-05,53,0.0,Clear
575094,57000116,MIRACLE STRIP,HOLLYWOOD BLVD,2023,2024,16238.07,High,2025-05-05,53,0.0,Clear
575903,57000117,US-98/SR-30,COMMONS DR W RAB,2023,2024,5691.14,Medium,2025-05-05,53,0.0,Clear
570317,57000118,CR-30F/AIRPORT RD,INDIAN BAYOU TR,2023,2024,16514.39,High,2025-05-05,53,0.0,Clear
575149,57000350,HOLLYWOOD BLVD NW,HOLMES BLVD NW,2023,2024,2098.04,Low,2025-05-05,53,0.0,Clear
572004,57002000,57002006 EB OFF,WALTON CO LINE,2023,2024,27156.14,High,2025-05-05,53,0.0,Clear
582007,57002000,SANTA ROSA CO LINE,57002002 EB OFF,2023,2024,37986.26,High,2025-05-05,53,0.0,Clear
570318,57002000,57002002 EB OFF,57002006 EB OFF,2023,2024,32656.84,High,2025-05-05,53,0.0,Clear
572601,57002001,CR-189,I-10/SR-8,2023,2024,2070.32,Low,2025-05-05,53,0.0,Clear
572602,57002002,I-10/SR-8,CR-189,2023,2024,1951.87,Low,2025-05-05,53,0.0,Clear
572603,57002003,I-10/SR-8,CR-189,2023,2024,915.46,Low,2025-05-05,53,0.0,Clear
572604,57002004,CR-189,I-10/SR-8,2023,2024,1021.68,Low,2025-05-05,53,0.0,Clear
572605,57002005,SR-85,I-10/SR-8,2023,2024,6407.64,Medium,2025-05-05,53,0.0,Clear
