name,startTime,temperature,shortForecast,windSpeed
Tonight,2025-05-04 22:00:00-05:00,53,Clear,0 to 5 mph
Monday,2025-05-05 06:00:00-05:00,82,Sunny,0 to 5 mph
Monday Night,2025-05-05 18:00:00-05:00,57,Mostly Clear,0 to 5 mph
Tuesday,2025-05-06 06:00:00-05:00,84,Mostly Sunny,5 to 10 mph
Tuesday Night,2025-05-06 18:00:00-05:00,64,Mostly Cloudy then Slight Chance Rain Showers,0 to 5 mph
Wednesday,2025-05-07 06:00:00-05:00,83,Rain Showers Likely,5 to 10 mph
Wednesday Night,2025-05-07 18:00:00-05:00,67,Rain Showers Likely,5 mph
Thursday,2025-05-08 06:00:00-05:00,82,Showers And Thunderstorms,5 to 10 mph
Thursday Night,2025-05-08 18:00:00-05:00,65,Showers And Thunderstorms,0 to 10 mph
Friday,2025-05-09 06:00:00-05:00,83,Showers And Thunderstorms Likely,0 to 10 mph
Friday Night,2025-05-09 18:00:00-05:00,62,Showers And Thunderstorms Likely then Chance Showers And Thunderstorms,5 mph
Saturday,2025-05-10 06:00:00-05:00,80,Showers And Thunderstorms Likely,5 to 10 mph
Saturday Night,2025-05-10 18:00:00-05:00,61,Showers And Thunderstorms Likely then Chance Showers And Thunderstorms,5 to 10 mph
Sunday,2025-05-11 06:00:00-05:00,80,Chance Showers And Thunderstorms,5 to 10 mph
