COSITE,ROADWAY,FROM,TO,LAST_YEAR_RECORDED,FORECASTED_YEAR,FORECASTED_AADT,Congestion_Level,FORECAST_DATE,TEMPERATURE,WINDSPEED,CURRENT_FORECAST
575061,57000002,SR-85/S FERDON BLVD,E CHESNUT AVE,2023,2024,150.35,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575063,57000003,MCDONALD ST,END OF PAVEMENT,2023,2024,1100.0,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575055,57000004,US-90/SR-10/HWY 90,STILLWELL BLVD,2023,2024,2212.3,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575056,57000005,US-90/SR-10,SR-85/FERDON BLVD,2023,2024,3720.8,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575085,57000006,STILLWELL BLVD,SR-85,2023,2024,810.1,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570304,57000007,US-90/SR-10,CRESTVIEW AEROSPACE,2023,2024,1601.55,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575007,57000008,SR-85/N FERDON BLVD,WOODLAWN DR,2023,2024,302.55,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575087,57000011,MOONEY RD NE,MOONEY RD NE,2023,2024,2167.78,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575088,57000012,SKIPPER AVE,SR-188/RACETRACK RD,2023,2024,850.16,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575084,57000013,SR-85/EGLIN PKWY,SR-188/RACETRACK RD,2023,2024,8680.1,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575144,57000014,JONQUIL AVE NW,SR-189/BEAL PKWY NW,2023,2024,2800.01,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575071,57000016,HOLLYWOOD BLVD NW,SR-189/BEAL PKWY NW,2023,2024,5625.79,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575065,57000018,SR-189/BEAL PKWY,SR-85/EGLIN PKWY NW,2023,2024,10305.07,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
