COSITE,ROADWAY,FROM,TO,ESTIMATED_CURRENT_AADT,FORECASTED_AADT,Congestion_Level,TEMPERATURE,WINDSPEED
575061,57000002,SR-85/S FERDON BLVD,E CHESNUT AVE,150.0,150.09,Low,73.97,3.48
575063,57000003,MCDONALD ST,END OF PAVEMENT,1100.0,1100.0,Low,73.97,3.48
575055,57000004,US-90/SR-10/HWY 90,STILLWELL BLVD,2300.0,2311.93,Low,73.97,3.48
575056,57000005,US-90/SR-10,SR-85/FERDON BLVD,3850.0,3874.17,Low,73.97,3.48
575085,57000006,STILLWELL BLVD,SR-85,900.0,919.01,Low,73.97,3.48
570304,57000007,US-90/SR-10,CRESTVIEW AEROSPACE,1650.0,1650.15,Low,73.97,3.48
575007,57000008,SR-85/N FERDON BLVD,WOODLAWN DR,325.0,330.37,Low,73.97,3.48
575087,57000011,MOONEY RD NE,MOONEY RD NE,2250.0,2278.18,Low,73.97,3.48
575088,57000012,SKIPPER AVE,SR-188/RACETRACK RD,900.0,898.19,Low,73.97,3.48
575084,57000013,SR-85/EGLIN PKWY,SR-188/RACETRACK RD,9450.0,9495.57,Medium,73.97,3.48
575144,57000014,JONQUIL AVE NW,SR-189/BEAL PKWY NW,2800.0,2800.0,Low,73.97,3.48
575071,57000016,HOLLYWOOD BLVD NW,SR-189/BEAL PKWY NW,5950.0,6023.7,Medium,73.97,3.48
575065,57000018,SR-189/BEAL PKWY,SR-85/EGLIN PKWY NW,10850.0,10929.67,Medium,73.97,3.48
575111,57000018,SR-393/MARY ESTHER,WRIGHT PKWY NW,9900.0,9946.94,Medium,73.97,3.48
575092,57000018,WRIGHT PKWY NW,ROBINWOOD DR SW,10550.0,10569.03,Medium,73.97,3.48
575116,57000018,ROBINWOOD DR SW,SR-189/BEAL PKWY,12500.0,12511.74,Medium,73.97,3.48
575145,57000019,FLORIDA BLANCA PL SE,BAY DR NE,900.0,905.01,Low,73.97,3.48
575114,57000019,FERRY RD NE,SR-85/EGLIN PKWY,7950.0,7992.18,Medium,73.97,3.48
575165,57000019,BAY DR NE,FERRY RD NE,4000.0,4004.87,Low,73.97,3.48
575146,57000020,SR-85/EGLIN PKWY,FERRY RD NE,5150.0,5144.33,Medium,73.97,3.48
570285,57000021,7TH ST,SR-20,7800.0,7848.98,Medium,73.97,3.48
571501,57000023,VALPARAISO BLVD,7TH ST,1000.0,1004.88,Low,73.97,3.48
570008,57509500,CR-393,MILLSIDE RD,350.0,350.01,Low,73.97,3.48
575901,57000031,BUCK WARD RD,VINSON RAY RD,775.0,786.08,Low,73.97,3.48
575147,57000035,CROSS ST,BENNING DR,850.0,863.72,Low,73.97,3.48
575164,57000036,BENNING DR,FIRST ST,475.0,474.54,Low,73.97,3.48
575148,57000038,FIRST ST SE,SR-145/PERRY AVE SE,375.0,375.53,Low,73.97,3.48
575167,57000038,CHESTNUT AVE SE,YACHT CLUB DR NE,1700.0,1732.46,Low,73.97,3.48
575075,57000039,SR-189/BEAL PKWY,SR-85/EGLIN PKWY,7150.0,7151.27,Medium,73.97,3.48
575070,57000040,US-98/SR-30,HOLLYWOOD BLVD SW,6250.0,6282.93,Medium,73.97,3.48
575902,57000061,OLD RIVER RD,CR-2/HWY 2,75.0,74.48,Low,73.97,3.48
575129,57000110,MILITARY BDRY ENT,US-98/SR-30,17000.0,17358.41,High,73.97,3.48
575168,57000111,HILL AVE NW,DOOLITTLE BLVD,19750.0,19939.55,High,73.97,3.48
575139,57000111,DOOLITTLE BLVD,SR-393,7650.0,7768.04,Medium,73.97,3.48
575141,57000112,FREEDOM WAY,HURLBURT RD,33250.0,33757.57,High,73.97,3.48
575115,57630000,GREEN ACRES BLVD,SR-189/BEAL PKWY,19250.0,19335.42,High,73.97,3.48
575101,57000112,LOVEJOY RD NW,FREEDOM WAY,29000.0,29425.61,High,73.97,3.48
575097,57000112,HOLLYWOOD BLVD NW,LOVEJOY RD NW,23000.0,23252.07,High,73.97,3.48
575154,57000113,US-98/SR-30,CR-30B/BENNING DR,3400.0,3398.05,Low,73.97,3.48
575027,57000113,CR-30B/BENNING DR,CR-30D/MAIN ST,12750.0,12805.57,Medium,73.97,3.48
570297,57000114,SR-20/JOHN SIMS PKWY,HUNTINGTON CIR,10450.0,10631.81,Medium,73.97,3.48
575094,57000116,MIRACLE STRIP,HOLLYWOOD BLVD,17750.0,17972.04,High,73.97,3.48
575903,57000117,US-98/SR-30,COMMONS DR W RAB,5700.0,5675.15,Medium,73.97,3.48
570317,57000118,CR-30F/AIRPORT RD,INDIAN BAYOU TR,14750.0,14754.23,Medium,73.97,3.48
575149,57000350,HOLLYWOOD BLVD NW,HOLMES BLVD NW,2250.0,2248.27,Low,73.97,3.48
572004,57002000,57002006 EB OFF,WALTON CO LINE,28750.0,29330.23,High,73.97,3.48
582007,57002000,SANTA ROSA CO LINE,57002002 EB OFF,38000.0,38764.46,High,73.97,3.48
570318,57002000,57002002 EB OFF,57002006 EB OFF,35244.0,35621.75,High,73.97,3.48
572601,57002001,CR-189,I-10/SR-8,2100.0,2133.47,Low,73.97,3.48
572602,57002002,I-10/SR-8,CR-189,2000.0,2030.33,Low,73.97,3.48
572603,57002003,I-10/SR-8,CR-189,925.0,936.15,Low,73.97,3.48
572604,57002004,CR-189,I-10/SR-8,1075.0,1096.91,Low,73.97,3.48
572605,57002005,SR-85,I-10/SR-8,6350.0,6414.3,Medium,73.97,3.48
572606,57002006,I-10/SR-8,SR-85/S FERDON BLVD,7050.0,7074.78,Medium,73.97,3.48
572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,3300.0,3371.96,Low,73.97,3.48
572608,57002008,SR-85,I-10/SR-8,2700.0,2690.05,Low,73.97,3.48
575126,57003000,DENTON BLVD,MOONEY RD,27250.0,27238.58,High,73.97,3.48
575110,57003000,MOONEY RD,SR-85/EGLIN PKWY,28500.0,28627.74,High,73.97,3.48
