name,startTime,temperature,shortForecast,windSpeed
This Afternoon,2025-05-11 12:00:00-05:00,80,Chance Showers And Thunderstorms,10 mph
Tonight,2025-05-11 18:00:00-05:00,63,Chance Showers And Thunderstorms,5 to 10 mph
Monday,2025-05-12 06:00:00-05:00,81,Chance Showers And Thunderstorms then Showers And Thunderstorms Likely,5 to 15 mph
Monday Night,2025-05-12 18:00:00-05:00,62,Chance Showers And Thunderstorms,5 to 15 mph
Tuesday,2025-05-13 06:00:00-05:00,83,Slight Chance Rain Showers then Chance Showers And Thunderstorms,0 to 10 mph
Tuesday Night,2025-05-13 18:00:00-05:00,66,Chance Showers And Thunderstorms then Mostly Clear,5 to 10 mph
Wednesday,2025-05-14 06:00:00-05:00,86,Sunny,5 to 15 mph
Wednesday Night,2025-05-14 18:00:00-05:00,68,Mostly Clear,5 to 10 mph
Thursday,2025-05-15 06:00:00-05:00,89,Sunny,5 to 15 mph
Thursday Night,2025-05-15 18:00:00-05:00,70,Partly Cloudy,0 to 10 mph
Friday,2025-05-16 06:00:00-05:00,93,Mostly Sunny,0 to 10 mph
Friday Night,2025-05-16 18:00:00-05:00,70,Partly Cloudy,5 to 10 mph
Saturday,2025-05-17 06:00:00-05:00,92,Mostly Sunny,5 to 10 mph
Saturday Night,2025-05-17 18:00:00-05:00,70,Partly Cloudy,5 to 10 mph
